***SIMULATION PARAMETERS***,,,,,,,,,,,,,,,,,,,,
parameter,units,description,typical value,,,,,,,,,,,,,,,,,
sim,integer,simulation number,,,,,,,,,,,,,,,,,,
time,years,total model runtime,10-100 ,,,,,,,,,,,,,,,,,
dt,years,time step interval,0.001-0.01,,,,,,,,,,,,,,,,,
n_sinks,integer,initial number of englacial sink points,,,,,,,,,,,,,,,,,,
sink_depth,meter,initial sink depth,0.05,,,,,,,,,,,,,,,,,
b_0,meters/year,bare ice melt rate,1-6 m/y,,,,,,,,,,,,,,,,,
h_c,meters,critical debris thickness,0.05-0.1,"per Anderson (Cryosphere, 2021)",,,,,,,,,,,,,,,,
D,meters^2/year,debris diffusion constant,0.05-0.2 m^2/year; calculated from Fyffe et al. (2020),,,,,,,,,,,,,,,,,
S_c,meter/meter,critical slope threshold,1.15,"per Anderson (Cryosphere, 2021)",,,,,,,,,,,,,,,,
K_sp,float,stream power rate constant,0.25-1.0,"In dimensionless terms, K/D should range from 1-10 (Karlstrom and Yang, 2016), but they refer to ICE diffusion, not debris",,,,,,,,,,,,,,,,
m_sp,float,stream power m,0.5,"Potentially quite small, ~0.005n, see Karlstrom and Yang (2016)",,,,,,,,,,,,,,,,
n_sp,float,stream power n,1,unknown,,,,,,,,,,,,,,,,
threshold_sp,float,incision threshold,0.1,unknown,,,,,,,,,,,,,,,,
deb_conc,meter/meter,englacial debris concentration,<0.002,,,,,,,,,,,,,,,,,
C_d,meter/year,debris removal rate constant,0-0.1,unknown,,,,,,,,,,,,,,,,
sink_loc,string,sink point locations,"""random"" or ""center""",,,,,,,,,,,,,,,,,
dz_sink,meters,sink point lowering rate,0.05,keep this small to prevent instability,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
#######,do not remove the # signs,,,,,,,,,,,,,,,,,,,
sim,time,dt,n_sinks,sink_depth,b_0,h_c,D,S_c,K_sp,m_sp,n_sp,threshold_sp,deb_conc,sink_loc,C_d,random_state,dz_sink,ncols,nrows,dx 
1,50,0.005,1,0.5,1,0.08,0.1,1.15,0.1,0.5,1,0.1,0.001,center,0.01,10,0.05,101,101,1
2,50,0.005,1,0.5,1,0.08,0.1,1.15,0.15,0.5,1,0.1,0.001,center,0.01,10,0.05,101,101,1
3,50,0.005,1,0.5,1,0.08,0.1,1.15,0.2,0.5,1,0.1,0.001,center,0.01,10,0.05,101,101,1
4,50,0.005,1,0.5,1,0.08,0.1,1.15,0.1,0.5,1,0.1,0.001,center,0.001,10,0.05,101,101,1
5,50,0.005,1,0.5,1,0.08,0.1,1.15,0.15,0.5,1,0.1,0.001,center,0.001,10,0.05,101,101,1
6,50,0.005,1,0.5,1,0.08,0.1,1.15,0.2,0.5,1,0.1,0.001,center,0.001,10,0.05,101,101,1
